Frame,timestep,Id,Location_x,Location_y,Location_z,Rotation_x,Rotation_y,Rotation_z
1,0,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
1,0,204,39628.6,8253.92,48.53,39628.6,8253.92,48.53
2,0.05,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
2,0.05,204,39628.6,8253.92,44.61,39628.6,8253.92,44.61
3,0.1,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
3,0.1,204,39628.6,8253.92,38.24,39628.6,8253.92,38.24
4,0.15,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
4,0.15,204,39628.6,8253.92,29.42,39628.6,8253.92,29.42
5,0.2,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
5,0.2,204,39628.6,8253.92,18.15,39628.6,8253.92,18.15
6,0.25,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
6,0.25,204,39628.6,8253.92,4.87006,39628.6,8253.92,4.87006
7,0.3,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
7,0.3,204,39628.6,8253.92,-2.72376,39628.6,8253.92,-2.72376
8,0.35,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
8,0.35,204,39628.6,8253.92,-5.32059,39628.6,8253.92,-5.32059
9,0.4,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
9,0.4,204,39628.6,8253.92,-5.58475,39628.6,8253.92,-5.58475
10,0.45,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
10,0.45,204,39628.6,8253.92,-4.89143,39628.6,8253.92,-4.89143
11,0.5,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
11,0.5,204,39628.6,8253.92,-3.91626,39628.6,8253.92,-3.91626
12,0.55,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
12,0.55,204,39628.6,8253.92,-2.96505,39628.6,8253.92,-2.96505
13,0.6,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
13,0.6,204,39628.6,8253.92,-2.15517,39628.6,8253.92,-2.15517
14,0.65,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
14,0.65,204,39628.6,8253.92,-1.51337,39628.6,8253.92,-1.51337
15,0.7,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
15,0.7,204,39628.6,8253.92,-1.02692,39628.6,8253.92,-1.02692
16,0.75,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
16,0.75,204,39628.6,8253.92,-0.669243,39628.6,8253.92,-0.669243
17,0.8,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
17,0.8,204,39628.6,8253.92,-0.411987,39628.6,8253.92,-0.411987
18,0.85,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
18,0.85,204,39628.6,8253.92,-0.230045,39628.6,8253.92,-0.230045
19,0.9,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
19,0.9,204,39628.6,8253.92,-0.103054,39628.6,8253.92,-0.103054
20,0.95,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
20,0.95,204,39628.6,8253.92,-0.0153694,39628.6,8253.92,-0.0153694
21,1,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
21,1,204,39628.6,8253.92,0.0446396,39628.6,8253.92,0.0446396
22,1.05,197,39633.4,17853.9,3.3545,39633.4,17853.9,3.3545
22,1.05,204,39628.6,8253.92,0.0854073,39628.6,8253.92,0.0854073
23,1.1,197,39633.4,17853.9,3.33562,39633.4,17853.9,3.33562
23,1.1,204,39628.6,8253.92,0.112926,39628.6,8253.92,0.112926
24,1.15,197,39633.4,17853.9,3.33374,39633.4,17853.9,3.33374
24,1.15,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
25,1.2,197,39633.4,17853.9,3.33882,39633.4,17853.9,3.33882
25,1.2,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
26,1.25,197,39633.4,17853.9,3.34595,39633.4,17853.9,3.34595
26,1.25,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
27,1.3,197,39633.4,17853.9,3.35289,39633.4,17853.9,3.35289
27,1.3,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
28,1.35,197,39633.4,17853.9,3.3588,39633.4,17853.9,3.3588
28,1.35,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
29,1.4,197,39633.4,17853.9,3.36349,39633.4,17853.9,3.36349
29,1.4,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
30,1.45,197,39633.4,17853.9,3.36704,39633.4,17853.9,3.36704
30,1.45,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
31,1.5,197,39633.4,17853.9,3.36814,39633.4,17853.9,3.36814
31,1.5,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
32,1.55,197,39633.4,17853.9,3.36944,39633.4,17853.9,3.36944
32,1.55,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
33,1.6,197,39633.4,17853.9,3.37083,39633.4,17853.9,3.37083
33,1.6,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
34,1.65,197,39633.4,17853.9,3.37206,39633.4,17853.9,3.37206
34,1.65,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
35,1.7,197,39633.4,17853.9,3.37306,39633.4,17853.9,3.37306
35,1.7,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
36,1.75,197,39633.4,17853.9,3.37383,39633.4,17853.9,3.37383
36,1.75,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
37,1.8,197,39633.4,17853.9,3.3744,39633.4,17853.9,3.3744
37,1.8,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
38,1.85,197,39633.4,17853.9,3.37481,39633.4,17853.9,3.37481
38,1.85,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
39,1.9,197,39633.4,17853.9,3.37501,39633.4,17853.9,3.37501
39,1.9,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
40,1.95,197,39633.4,17853.9,3.37501,39633.4,17853.9,3.37501
40,1.95,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
41,2,197,39633.4,17853.9,3.37524,39633.4,17853.9,3.37524
41,2,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
42,2.05,197,39633.4,17853.9,3.37536,39633.4,17853.9,3.37536
42,2.05,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
43,2.1,197,39633.4,17853.5,3.36736,39633.4,17853.5,3.36736
43,2.1,204,39628.6,8253.92,0.131397,39628.6,8253.92,0.131397
44,2.15,197,39633.4,17851.3,3.33906,39633.4,17851.3,3.33906
44,2.15,204,39628.6,8254.05,0.114685,39628.6,8254.05,0.114685
45,2.2,197,39633.4,17847.5,3.3144,39633.4,17847.5,3.3144
45,2.2,204,39628.6,8254.07,0.114639,39628.6,8254.07,0.114639
46,2.25,197,39633.4,17843.0,3.30544,39633.4,17843.0,3.30544
46,2.25,204,39628.6,8253.99,0.12125,39628.6,8253.99,0.12125
47,2.3,197,39633.4,17838.0,3.30598,39633.4,17838.0,3.30598
47,2.3,204,39628.6,8253.1,0.126144,39628.6,8253.1,0.126144
48,2.35,197,39633.4,17832.4,3.30939,39633.4,17832.4,3.30939
48,2.35,204,39628.6,8250.85,0.127419,39628.6,8250.85,0.127419
49,2.4,197,39633.5,17826.6,3.31623,39633.5,17826.6,3.31623
49,2.4,204,39628.6,8247.27,0.12833,39628.6,8247.27,0.12833
50,2.45,197,39633.5,17820.2,3.31964,39633.5,17820.2,3.31964
50,2.45,204,39628.6,8242.25,0.128307,39628.6,8242.25,0.128307
51,2.5,197,39633.5,17813.5,3.32369,39633.5,17813.5,3.32369
51,2.5,204,39628.7,8235.5,0.126614,39628.7,8235.5,0.126614
52,2.55,197,39633.5,17806.4,3.32784,39633.5,17806.4,3.32784
52,2.55,204,39628.7,8227.06,0.124908,39628.7,8227.06,0.124908
53,2.6,197,39633.5,17798.9,3.33094,39633.5,17798.9,3.33094
53,2.6,204,39628.7,8216.77,0.122337,39628.7,8216.77,0.122337
54,2.65,197,39633.5,17790.9,3.33152,39633.5,17790.9,3.33152
54,2.65,204,39628.7,8204.54,0.119785,39628.7,8204.54,0.119785
55,2.7,197,39633.5,17782.5,3.333,39633.5,17782.5,3.333
55,2.7,204,39628.7,8190.42,0.117722,39628.7,8190.42,0.117722
56,2.75,197,39633.5,17773.8,3.3349,39633.5,17773.8,3.3349
56,2.75,204,39628.7,8174.42,0.11615,39628.7,8174.42,0.11615
57,2.8,197,39633.5,17764.8,3.33694,39633.5,17764.8,3.33694
57,2.8,204,39628.8,8156.55,0.115078,39628.8,8156.55,0.115078
58,2.85,197,39633.5,17755.3,3.33759,39633.5,17755.3,3.33759
58,2.85,204,39628.8,8136.87,0.11459,39628.8,8136.87,0.11459
59,2.9,197,39633.5,17745.5,3.3378,39633.5,17745.5,3.3378
59,2.9,204,39628.8,8115.43,0.114513,39628.8,8115.43,0.114513
60,2.95,197,39633.5,17735.1,3.33692,39633.5,17735.1,3.33692
60,2.95,204,39628.9,8092.26,0.114704,39628.9,8092.26,0.114704
61,3,197,39633.5,17724.4,3.336,39633.5,17724.4,3.336
61,3,204,39628.9,8067.36,0.122082,39628.9,8067.36,0.122082
62,3.05,197,39633.5,17713.1,3.33444,39633.5,17713.1,3.33444
62,3.05,204,39628.9,8040.76,0.142323,39628.9,8040.76,0.142323
63,3.1,197,39633.5,17701.3,3.33313,39633.5,17701.3,3.33313
63,3.1,204,39629.0,8013.08,0.15234,39629.0,8013.08,0.15234
64,3.15,197,39633.5,17689.0,3.33144,39633.5,17689.0,3.33144
64,3.15,204,39629.1,7984.76,0.157673,39629.1,7984.76,0.157673
65,3.2,197,39633.5,17676.2,3.33009,39633.5,17676.2,3.33009
65,3.2,204,39629.1,7955.46,0.158405,39629.1,7955.46,0.158405
66,3.25,197,39633.5,17662.8,3.32847,39633.5,17662.8,3.32847
66,3.25,204,39629.2,7924.83,0.15593,39629.2,7924.83,0.15593
67,3.3,197,39633.4,17648.9,3.32717,39633.4,17648.9,3.32717
67,3.3,204,39629.2,7892.71,0.152206,39629.2,7892.71,0.152206
68,3.35,197,39633.4,17634.3,3.32566,39633.4,17634.3,3.32566
68,3.35,204,39629.3,7858.87,0.147732,39629.3,7858.87,0.147732
69,3.4,197,39633.4,17619.2,3.32446,39633.4,17619.2,3.32446
69,3.4,204,39629.4,7823.22,0.14325,39629.4,7823.22,0.14325
70,3.45,197,39633.4,17603.6,3.32327,39633.4,17603.6,3.32327
70,3.45,204,39629.5,7785.7,0.139648,39629.5,7785.7,0.139648
71,3.5,197,39633.4,17587.3,3.32371,39633.4,17587.3,3.32371
71,3.5,204,39629.6,7746.35,0.136848,39629.6,7746.35,0.136848
72,3.55,197,39633.4,17570.8,3.32734,39633.4,17570.8,3.32734
72,3.55,204,39629.7,7705.1,0.134472,39629.7,7705.1,0.134472
73,3.6,197,39633.4,17554.2,3.33428,39633.4,17554.2,3.33428
73,3.6,204,39629.8,7661.98,0.132706,39629.8,7661.98,0.132706
74,3.65,197,39633.4,17537.5,3.34255,39633.4,17537.5,3.34255
74,3.65,204,39629.8,7616.9,0.131023,39629.8,7616.9,0.131023
75,3.7,197,39633.4,17520.8,3.35065,39633.4,17520.8,3.35065
75,3.7,204,39629.9,7569.83,0.129364,39629.9,7569.83,0.129364
76,3.75,197,39633.4,17504.2,3.35682,39633.4,17504.2,3.35682
76,3.75,204,39630.1,7520.77,0.128132,39630.1,7520.77,0.128132
77,3.8,197,39633.3,17487.4,3.36086,39633.3,17487.4,3.36086
77,3.8,204,39630.2,7469.82,0.127827,39630.2,7469.82,0.127827
78,3.85,197,39633.3,17470.6,3.36252,39633.3,17470.6,3.36252
78,3.85,204,39630.3,7417.06,0.128155,39630.3,7417.06,0.128155
79,3.9,197,39633.3,17453.6,3.36274,39633.3,17453.6,3.36274
79,3.9,204,39630.4,7362.55,0.128841,39630.4,7362.55,0.128841
80,3.95,197,39633.3,17436.3,3.36078,39633.3,17436.3,3.36078
80,3.95,204,39630.5,7306.33,0.129707,39630.5,7306.33,0.129707
81,4,197,39633.3,17418.7,3.3579,39633.3,17418.7,3.3579
